id         meta.id
x_geo      pos.cartesian.x
y_geo      pos.cartesian.x
z_geo      pos.cartesian.x
x          pos.cartesian.x
y          pos.cartesian.y
z          pos.cartesian.z
x_min      pos.cartesian.x;stat.min
x_max      pos.cartesian.x;stat.max
y_min      pos.cartesian.y;stat.min
y_max      pos.cartesian.y;stat.max
z_min      pos.cartesian.z;stat.min
z_max      pos.cartesian.z;stat.max
n_pix      meta.number;instr.pixel
snr_min    stat.snr;stat.min
snr_max    stat.snr;stat.max
snr_sum    stat.snr
n_pos      meta.number;instr.pixel
n_neg      meta.number;instr.pixel
rel        stat.probability
bf_a       stat.fit.param
bf_b1      stat.fit.param
bf_b2      stat.fit.param
bf_c       stat.fit.param
bf_chi2    stat.fit.chi2
bf_flag    meta.code;stat.fit
bf_f_int   stat.fit.param
bf_f_peak  stat.fit.param
bf_w       stat.fit.param
bf_w20     stat.fit.param
bf_w50     stat.fit.param
bf_xe      stat.fit.param
bf_xp      stat.fit.param
bf_z       stat.fit.param
ell_maj    phys.angSize
ell_min    phys.angSize
ell_pa     pos.posAng
f_peak     phot.flux.density;stat.max
f_int      phot.flux
f_wm50     phot.flux
rms        instr.det.noise
w20        spect.line.width
w50        spect.line.width
wm50       spect.line.width
ra         pos.eq.ra
dec        pos.eq.dec
lon        pos.galactic.lon
lat        pos.galactic.lat
freq       em.freq
velo       spect.dopplerVeloc
